Time,Auto/Man,Temperature Inside,Humidity Inside
2021-04-07 14:35:04,Automatic,21.0,59.0
2021-04-07 14:40:04,Automatic,21.0,50.0
2021-04-07 14:45:11,Automatic,21.0,61.0
2021-04-07 14:50:03,Automatic,21.0,61.0
2021-04-07 14:55:06,Automatic,21.0,50.0
2021-04-07 15:00:04,Automatic,21.0,61.0
2021-04-07 15:05:04,Automatic,22.0,54.0
2021-04-07 15:10:04,Automatic,22.0,51.0
2021-04-07 15:15:04,Automatic,22.0,51.0
2021-04-07 15:20:04,Automatic,22.0,50.0
2021-04-07 15:25:04,Automatic,22.0,51.0
2021-04-07 15:30:04,Automatic,22.0,51.0
2021-04-07 15:35:04,Automatic,22.0,52.0
2021-04-07 15:40:09,Automatic,22.0,59.0
2021-04-07 15:45:04,Automatic,22.0,59.0
2021-04-07 15:50:04,Automatic,22.0,50.0
2021-04-07 15:55:04,Automatic,22.0,50.0
2021-04-07 16:00:04,Automatic,22.0,50.0
2021-04-07 16:05:04,Automatic,22.0,50.0
2021-04-07 16:10:06,Automatic,22.0,50.0
2021-04-07 16:15:07,Automatic,22.0,50.0
2021-04-07 16:20:04,Automatic,22.0,59.0
2021-04-07 16:25:04,Automatic,22.0,51.0
2021-04-07 16:30:03,Automatic,22.0,51.0
2021-04-07 16:35:06,Automatic,22.0,51.0
2021-04-07 16:40:04,Automatic,22.0,59.0
2021-04-07 16:45:04,Automatic,22.0,51.0
2021-04-07 16:50:04,Automatic,22.0,51.0
2021-04-07 16:55:11,Automatic,22.0,60.0
2021-04-07 17:00:03,Automatic,22.0,60.0
2021-04-07 17:05:06,Automatic,22.0,51.0
2021-04-07 17:10:04,Automatic,22.0,59.0
2021-04-07 17:15:06,Automatic,22.0,51.0
2021-04-07 17:20:03,Automatic,22.0,59.0
2021-04-07 17:25:03,Automatic,22.0,51.0
2021-04-07 17:30:03,Automatic,22.0,51.0
2021-04-07 17:35:06,Automatic,22.0,50.0
2021-04-07 17:40:04,Automatic,22.0,59.0
2021-04-07 17:45:04,Automatic,22.0,50.0
2021-04-07 17:50:03,Automatic,22.0,50.0
2021-04-07 17:55:06,Automatic,22.0,50.0
2021-04-07 18:00:04,Automatic,22.0,59.0
2021-04-07 18:05:04,Automatic,22.0,50.0
2021-04-07 18:10:04,Automatic,22.0,49.0
2021-04-07 18:15:04,Automatic,21.0,46.0
2021-04-07 18:20:09,Automatic,21.0,54.0
2021-04-07 18:25:04,Automatic,21.0,54.0
2021-04-07 18:30:04,Automatic,21.0,43.0
2021-04-07 18:35:09,Automatic,21.0,52.0
2021-04-09 16:19:31,Automatic,26.0,45.0
2021-04-09 16:20:17,Automatic,26.0,51.0
2021-04-09 16:25:04,Automatic,26.0,50.0
2021-04-09 16:35:06,Automatic,26.0,49.0
2021-04-09 16:40:03,Automatic,26.0,52.0
2021-04-12 10:00:05,Manual,19.0,68.0
2021-04-12 10:00:11,Automatic,19.0,68.0
2021-04-12 10:00:42,Manual,18.0,56.0
2021-04-12 10:04:33,Manual,18.0,58.0
2021-04-12 10:05:03,Automatic,18.0,72.0
2021-04-12 10:05:39,Manual,18.0,58.0
2021-04-12 10:06:02,Manual,18.0,58.0
2021-04-12 10:07:40,Manual,18.0,71.0
2021-04-12 10:07:57,Manual,18.0,59.0
2021-04-12 10:10:06,Automatic,17.0,57.0
2021-04-12 10:15:12,Automatic,17.0,71.0
2021-04-12 10:20:04,Automatic,18.0,72.0
2021-04-12 10:22:23,Manual,17.0,57.0
2021-04-12 10:23:07,Manual,18.0,71.0
2021-04-12 10:25:04,Automatic,18.0,71.0
2021-04-12 10:26:36,Manual,18.0,58.0
2021-04-12 10:29:50,Manual,18.0,58.0
2021-04-12 10:29:55,Manual,18.0,72.0
2021-04-12 10:30:04,Automatic,18.0,69.0
2021-04-12 10:35:03,Automatic,18.0,71.0
2021-04-12 10:38:37,Manual,18.0,58.0
2021-04-12 10:40:03,Automatic,18.0,71.0
2021-04-12 10:40:33,Manual,18.0,71.0
2021-04-12 10:41:54,Manual,18.0,71.0
2021-04-12 10:45:09,Automatic,18.0,70.0
2021-04-12 10:50:07,Automatic,18.0,57.0
2021-04-12 10:50:38,Manual,18.0,57.0
2021-04-12 10:55:09,Automatic,18.0,70.0
2021-04-12 11:00:06,Automatic,18.0,57.0
2021-04-12 11:05:04,Automatic,18.0,70.0
2021-04-12 11:10:04,Automatic,18.0,56.0
2021-04-12 11:15:04,Automatic,18.0,55.0
2021-04-12 11:20:06,Automatic,18.0,55.0
2021-04-12 11:25:06,Automatic,17.0,54.0
2021-04-12 11:30:03,Automatic,17.0,68.0
2021-04-12 11:35:03,Automatic,17.0,56.0
2021-04-12 11:40:06,Automatic,17.0,55.0
2021-04-12 11:45:03,Automatic,17.0,70.0
2021-04-12 11:50:03,Automatic,18.0,56.0
2021-04-12 11:55:03,Automatic,19.0,59.0
2021-04-12 12:00:03,Automatic,19.0,54.0
2021-04-12 12:05:03,Automatic,19.0,55.0
2021-04-12 12:10:06,Automatic,19.0,56.0
2021-04-12 12:15:04,Automatic,19.0,69.0
2021-04-12 12:20:04,Automatic,19.0,55.0
2021-04-12 12:25:04,Automatic,19.0,54.0
2021-04-12 12:30:06,Automatic,19.0,54.0
2021-04-12 12:35:07,Automatic,19.0,53.0
2021-04-12 12:40:03,Automatic,19.0,66.0
2021-04-12 12:45:06,Automatic,19.0,53.0
2021-04-12 12:50:04,Automatic,19.0,66.0
2021-04-12 12:55:04,Automatic,19.0,53.0
2021-04-12 13:00:04,Automatic,19.0,53.0
2021-04-12 13:05:04,Automatic,19.0,53.0
2021-04-12 13:10:04,Automatic,19.0,53.0
2021-04-12 13:15:09,Automatic,19.0,66.0
2021-04-12 13:20:04,Automatic,19.0,66.0
2021-04-12 13:25:04,Automatic,19.0,54.0
2021-04-12 13:30:03,Automatic,19.0,53.0
2021-04-12 13:35:03,Automatic,19.0,54.0
2021-04-12 13:40:03,Automatic,19.0,53.0
2021-04-12 13:45:03,Automatic,19.0,53.0
2021-04-12 13:50:03,Automatic,19.0,53.0
2021-04-12 13:55:03,Automatic,19.0,53.0
2021-04-12 14:00:04,Automatic,19.0,54.0
2021-04-12 14:06:11,Automatic,19.0,65.0
2021-04-12 14:10:12,Automatic,19.0,65.0
2021-04-12 14:15:06,Automatic,19.0,53.0
2021-04-12 14:16:31,Manual,19.0,65.0
2021-04-12 14:20:06,Automatic,19.0,53.0
2021-04-12 14:25:04,Automatic,19.0,65.0
2021-04-12 14:30:07,Automatic,19.0,54.0
2021-04-12 14:35:04,Automatic,19.0,66.0
2021-04-12 14:40:04,Automatic,19.0,54.0
2021-04-12 14:45:09,Automatic,20.0,68.0
2021-04-12 14:50:03,Automatic,20.0,68.0
2021-04-12 14:55:03,Automatic,20.0,61.0
2021-04-12 15:00:16,Automatic,20.0,65.0
2021-04-12 15:03:42,Manual,20.0,65.0
2021-04-12 15:05:03,Automatic,20.0,65.0
2021-04-12 15:10:11,Automatic,20.0,65.0
2021-04-12 15:15:07,Automatic,20.0,54.0
2021-04-12 15:20:09,Automatic,20.0,61.0
2021-04-12 15:24:09,Manual,20.0,63.0
2021-04-12 15:25:09,Automatic,20.0,64.0
2021-04-12 15:30:06,Automatic,19.0,54.0
2021-04-12 15:35:06,Automatic,19.0,55.0
2021-04-12 15:40:04,Automatic,19.0,68.0
2021-04-12 15:45:04,Automatic,19.0,56.0
2021-04-12 15:50:04,Automatic,19.0,55.0
2021-04-12 15:55:09,Automatic,19.0,66.0
2021-04-12 16:00:04,Automatic,19.0,66.0
2021-04-12 16:05:04,Automatic,19.0,53.0
2021-04-12 16:10:12,Automatic,19.0,66.0
2021-04-12 16:15:06,Automatic,19.0,55.0
2021-04-12 16:20:03,Automatic,19.0,67.0
2021-04-12 16:25:24,Automatic,19.0,67.0
2021-04-12 16:30:11,Automatic,19.0,67.0
2021-04-12 16:35:03,Automatic,19.0,67.0
2021-04-12 16:40:03,Automatic,19.0,54.0
2021-04-12 16:45:04,Automatic,19.0,54.0
2021-04-12 16:50:06,Automatic,19.0,54.0
2021-04-12 16:55:14,Automatic,19.0,67.0
2021-04-12 17:00:04,Automatic,19.0,67.0
2021-04-12 17:05:06,Automatic,19.0,54.0
2021-04-12 17:10:08,Automatic,19.0,67.0
2021-04-12 17:15:06,Automatic,19.0,55.0
2021-04-12 17:20:03,Automatic,19.0,67.0
2021-04-12 17:25:03,Automatic,19.0,54.0
2021-04-12 17:30:16,Automatic,19.0,70.0
2021-04-12 17:35:03,Automatic,19.0,70.0
2021-04-12 17:40:03,Automatic,19.0,58.0
2021-04-12 17:45:06,Automatic,19.0,60.0
2021-04-12 17:50:09,Automatic,19.0,74.0
2021-04-12 17:55:04,Automatic,19.0,74.0
2021-04-12 18:00:06,Automatic,20.0,61.0
2021-04-12 18:05:04,Automatic,20.0,72.0
2021-04-12 18:10:06,Automatic,21.0,68.0
2021-04-12 18:15:03,Automatic,21.0,79.0
2021-04-12 18:20:04,Automatic,21.0,66.0
2021-04-12 18:25:04,Automatic,21.0,69.0
2021-04-12 18:30:04,Automatic,21.0,69.0
2021-04-12 18:35:06,Automatic,19.0,51.0
2021-04-12 18:40:03,Automatic,19.0,64.0
2021-04-12 18:45:03,Automatic,18.0,52.0
2021-04-12 18:50:14,Automatic,19.0,67.0
2021-04-12 18:55:04,Automatic,19.0,67.0
2021-04-12 19:00:04,Automatic,19.0,54.0
2021-04-12 19:05:06,Automatic,19.0,54.0
2021-04-12 19:10:03,Automatic,19.0,66.0
2021-04-12 19:15:11,Automatic,19.0,66.0
2021-04-12 19:20:06,Automatic,19.0,55.0
2021-04-12 19:25:04,Automatic,19.0,67.0
2021-04-12 19:30:04,Automatic,20.0,53.0
2021-04-12 19:35:08,Automatic,20.0,66.0
2021-04-12 19:40:03,Automatic,20.0,65.0
2021-04-12 19:45:03,Automatic,21.0,56.0
2021-04-12 19:50:03,Automatic,21.0,55.0
2021-04-12 19:55:06,Automatic,20.0,53.0
